days,strategy,overall_mae_raw,warm_mae_raw,cold_mae_raw,overall_cvrmse_raw,cold_cvrmse_raw,overall_wape_raw,cold_wape_raw
30,6. FedMetaTL,56.58869445323944,51.307478035489716,77.71356012423833,63.4020881652832,47.12946701049805,58.59184646606445,43.87758255004883
45,1. FTL,69.97585337162018,63.51755260427793,95.80905644098918,76.6715316772461,60.78611373901367,71.70252227783203,57.545413970947266
45,2. Personalized-FL,29.53726637363434,26.771247354646523,40.601342449585594,42.564327239990234,32.62973403930664,37.44187545776367,28.62116241455078
45,3. Progressive Unfreezing,53.61956402460734,48.32746875286102,74.7879451115926,77.4216537475586,64.73088836669922,73.0700912475586,61.95060729980469
45,4. Instance-TL,51.275620341300964,45.240992118914924,75.41413323084514,55.18809509277344,49.01560592651367,50.24165344238281,45.65677261352539
45,5. Fed-SimTL,58.69113151232401,52.82120815912882,82.17082492510478,73.81295013427734,59.26657485961914,69.08594512939453,56.1296501159668
45,6. FedMetaTL,56.33306072552999,50.99088694651922,77.70175584157307,63.394065856933594,47.83590316772461,58.53847885131836,44.55867385864258
60,1. FTL,69.95492157936096,63.51353327433268,95.72047479947408,75.85135650634766,60.64865493774414,70.38401794433594,56.706512451171875
60,2. Personalized-FL,29.385655705134074,26.758950978517532,39.89247461160024,43.082275390625,33.5566520690918,37.8572883605957,29.472177505493164
60,3. Progressive Unfreezing,53.15648750464121,47.77420141299566,74.68563187122345,81.67720794677734,69.65482330322266,77.34794616699219,66.93682861328125
60,4. Instance-TL,52.32394260962804,46.25506510833899,76.59945261478424,55.62984848022461,47.53021240234375,50.29875183105469,43.5284423828125
60,5. Fed-SimTL,60.95638647874196,54.89810494581858,85.18951261043549,79.5156478881836,64.69239807128906,74.89271545410156,61.761932373046875
60,6. FedMetaTL,57.61999559402466,52.130262623230614,79.57892747720082,70.31766510009766,54.026981353759766,65.4787826538086,50.81300354003906
