model,seed,curve_index,strategy_raw,strategy,epochs_ran,requested_epochs,stopped_early,final_train_loss,final_val_loss,best_val_loss,n_train_points,n_val_points
PatchTST,42,143,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.024027177690450093,0.042522035241127014,0.04015831932425499,10,10
PatchTST,42,144,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0078794982102586,0.02682524561882019,0.01812816843390465,10,10
PatchTST,42,145,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.013173715350266072,0.09387621402740479,0.07310879230499268,10,10
PatchTST,42,146,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0036175070421361343,0.005987834054976702,0.005987834054976702,10,10
PatchTST,42,147,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.00766886404253603,0.007526364475488663,0.005750311156734824,10,10
PatchTST,42,148,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.050846005083240955,2.3828628312051294,1.9740614677220583,10,10
PatchTST,42,149,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.012626270605831692,0.04508053064346314,0.03225505441427231,10,10
PatchTST,42,150,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.007508686110175399,0.015725941844284535,0.012916862964630127,10,10
PatchTST,42,151,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.01823650239928951,0.2340505313873291,0.11458857104182243,10,10
PatchTST,42,152,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0151917986788845,0.01986599586904049,0.01986599586904049,10,10
PatchTST,42,153,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.07373905177846511,0.37312050461769103,0.11801066622138023,10,10
PatchTST,42,154,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.011132920848056036,0.016191563579023526,0.013210811632214695,10,10
PatchTST,42,155,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.02553582460516029,0.17992608666419982,0.17992608666419982,10,10
PatchTST,42,156,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.002912922049960914,0.028763605561107398,0.0068157299235463145,10,10
PatchTST,42,157,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0980647500998121,0.09816162586212158,0.05478092849254608,10,10
PatchTST,42,158,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0018777623873577531,0.00793372418731451,0.0037433986575342716,10,10
PatchTST,42,159,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.02511020368192254,0.2538643044233322,0.20711536586284637,10,10
PatchTST,42,160,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.003182344443384346,0.007897417657077313,0.00395258316770196,10,10
PatchTST,42,161,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0014976432672868902,0.002432822507695966,0.002298319419365256,10,10
PatchTST,42,162,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.027106578686453785,0.4547787871211767,0.14761923149228096,10,10
PatchTST,42,163,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0016740692825572242,0.008107960579656464,0.005972466772041654,10,10
PatchTST,42,164,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.08561875032599219,0.05521255470812321,0.04541670344769955,10,10
PatchTST,42,165,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.011521315409077538,0.031046972274780274,0.015333234295248986,10,10
PatchTST,42,166,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.060222026859195574,0.009135415693745017,0.0073986931517720225,10,10
PatchTST,42,167,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.008098895240040007,0.010937820188701153,0.009593702480196952,10,10
PatchTST,42,168,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.004865320512979496,0.021040148958563806,0.014870429337024689,10,10
PatchTST,42,169,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.030892844152886692,0.09580292344093323,0.07323647022247315,10,10
PatchTST,42,170,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0033592030350472223,0.004575192779302597,0.003706611208617687,10,10
PatchTST,42,171,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.024739703930773065,0.19255932331085204,0.17036259591579436,10,10
PatchTST,42,172,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.017979086229077925,0.0300287526845932,0.0300287526845932,10,10
PatchTST,42,173,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.012992073307293378,0.09575690031051635,0.05530962616205216,10,10
PatchTST,42,174,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.0881768014675718,0.04322070181369782,0.04322070181369782,10,10
PatchTST,42,175,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.07936254151791415,0.015428604781627655,0.009778825640678406,10,10
PatchTST,42,176,PatchTST FTL pretrain-sweep,FTL pretrain-sweep,10,,,0.04586809988671202,0.21431517081335186,0.14635384116321803,10,10
